Tumor Cells (current),Immune Cells (total),Active Immune Cells,Destroyed Tumor Cells,Average Cancer Cell PD-L1,Average TCell Activation,Average TCell Exhaustion,Overall Survival,Progression-Free Survival,Time Step,Simulation Status,Patient Age,Patient Sex,Patient BMI,Enable Treatment
43,27,27,0,0.5325581395348837,0.9924999999999999,0.002839160559015106,0.0,77.14285714285715,27,RUNNING,30,male,22,True
46,27,27,0,0.5391304347826087,0.99,0.00407681975068158,0.0,68.57142857142857,28,RUNNING,30,male,22,True
44,27,27,0,0.5409090909090909,0.99,0.0037706397482934347,0.0,74.28571428571429,29,RUNNING,30,male,22,True
46,27,27,0,0.5478260869565217,0.9924999999999999,0.0033670894905403043,0.0,68.57142857142857,30,RUNNING,30,male,22,True
44,27,27,0,0.5454545454545454,0.99,0.002150449401325293,0.0,74.28571428571429,31,RUNNING,30,male,22,True
44,27,27,0,0.5454545454545454,0.9924999999999999,0.0016424488146182406,0.0,74.28571428571429,32,RUNNING,30,male,22,True
41,27,27,0,0.5390243902439024,0.9924999999999999,0.0025096811408743154,0.0,82.85714285714285,33,RUNNING,30,male,22,True
39,27,27,0,0.5461538461538462,0.99,0.003944125830884881,0.0,88.57142857142857,34,RUNNING,30,male,22,True
42,27,27,0,0.5476190476190477,0.9924999999999999,0.0027735204831793323,0.0,80.0,35,RUNNING,30,male,22,True
42,27,27,0,0.5476190476190477,0.99,0.0036708557216026567,0.0,80.0,36,RUNNING,30,male,22,True
40,27,27,0,0.545,0.99,0.002227955067243513,0.0,85.71428571428572,37,RUNNING,30,male,22,True
41,27,27,0,0.5439024390243903,0.9924999999999999,0.003201456720045139,0.0,82.85714285714285,38,RUNNING,30,male,22,True
41,27,27,0,0.5439024390243903,0.99,0.0039455997700660415,0.0,82.85714285714285,39,RUNNING,30,male,22,True
39,27,27,0,0.5461538461538462,0.99,0.0030347711925308896,0.0,88.57142857142857,40,RUNNING,30,male,22,True
35,27,27,0,0.5399999999999999,0.995,0.002994254651322628,0.0,100.0,41,RUNNING,30,male,22,True
35,27,27,0,0.5399999999999999,0.99,0.0020855478165373205,0.0,100.0,42,RUNNING,30,male,22,True
35,27,27,0,0.5514285714285715,0.9924999999999999,0.0020581847907261536,0.0,100.0,43,RUNNING,30,male,22,True
33,27,27,2,0.5606060606060606,0.9924999999999999,0.003139261813761003,5.714285714285716,100.0,44,RUNNING,30,male,22,True
33,27,27,2,0.5606060606060606,0.9924999999999999,0.003640962262592985,5.714285714285716,100.0,45,RUNNING,30,male,22,True
34,27,27,1,0.5647058823529412,0.99,0.002271097603230036,2.857142857142858,100.0,46,RUNNING,30,male,22,True
35,27,27,0,0.5628571428571428,0.99,0.0022017618392427786,0.0,100.0,47,RUNNING,30,male,22,True
34,27,27,1,0.5647058823529412,0.9924999999999999,0.0038390405703765023,2.857142857142858,100.0,48,RUNNING,30,male,22,True
32,27,27,3,0.5625,0.99,0.002873439586503971,8.571428571428575,100.0,49,RUNNING,30,male,22,True
31,27,27,4,0.5709677419354838,0.9924999999999999,0.003282786654881388,11.428571428571432,100.0,50,MAX_STEPS,30,male,22,True
